,Unnamed: 0,reviews,aircraft,Type of Traveler,Seat Type,Route,Date,Recommend
886,886,newcastle las vegas via london flights great time food good flight london nice bottle champagne well long haul flight also good aircraft 20yrs old clean cabin crew nice friendly efficient pre ordered meal absolutely fantastic complaint flight entertainment needs improved ie try showing classic british comedy programmes instead unfunny modern stuff also include good classic rock music people actually heard apart absolutely great well recommended,A319 / Boeing 747,Solo Leisure,Business Class,Newcastle to Las Vegas via London,Oct-18,yes
887,887,still fresh mind i’d like commend hard working crew ba flight stpetersburg london heathrow 23rd october 2018 checkin staff professional helpful assisted query boarding operated remarkably efficiently precise orderly manner cabin crew welcoming professional appearance demeanor cabin spotlessly clean flight departed time arrived slightly early captain informative gripe lack route map flight ms buy board option bit tedious disembarkation equally well managed passengers fare welled courteous sincere way flight restored faith ba well done superb crew,A320,Solo Leisure,Economy Class,St Petersburg to London,Oct-18,yes
888,888,london philadelphia upgraded coach business almost 900 wanted experience ba’s business class boeing 787 disappointed aircraft new staff really could cared less business guests 232 business seats facing cockpit others tail ba lost traveler crew although polite service wise lacking preflight offer beverage asked rose champagne told “i guess go find bottle open one” previous business class experiences beverages served every 2 hours almost 8 hour flight served main meal almost 25 hours takeoff get one full hot meal snack one hour half landing also get initial beverage next time beverage offered 15 hours landing ask anything else drink go galley yes menu linen silverware glass feel like like want extra seat cram business narrow really uncomfortable virtually storage small laptop droor that’s say entertainment options good wifi flight get pillow duvet blanket decent amenity kit ba new planes decent business amenities however lost service pay upgrade business ba avoid flying another option need improve comes inflight experiences treatment specially business class travelers,Boeing 787-9,Business,Business Class,London to Philadelphia,Oct-18,no
889,889,madrid london good improvement ba club europe flight b777 seats flat beds ba updated menus instead serving sandwich offered full meal service three choices main food good quality good ba listened feedback always let iberia partners madrid business lounge abysmal usual toilets available lone tortilla unique culinary offering along dirty tables,Boeing 777-200,Business,Business Class,Madrid to London,Oct-18,yes
890,890,london munich ground staff friendly plane clean boarding completed informed due issues tower flight would delayed 40 minutes hadnt finished loading baggage clear view window could see bags still arriving loaded scheduled departure aircrew functional must last flight day noticed flight uneventful flight tracking screen 30 minutes retracted lied reason delay flight offered minimum required,A321,Family Leisure,Economy Class,London to Munich,Oct-18,yes
891,891,london cape town waiting gate staff announced flight delayed cabin temperature high air conditioning problem board said doors aircraft opened lights dimmed switched decrease temperature boarding start soon possible finally one hour take temperature became acceptable,Boeing 747-400,Couple Leisure,Economy Class,London to Cape Town,Oct-18,no
892,892,full flight muc lhr british airways plus side ground cabin crew friendly baggage allowance plane although new clean pay food beverages board short haul flights departure delayed 45 minutes delay arrival total 55 minutes later expected also parked gate far end t5 plus side walking luggage waiting us service expected price would reason choosing traveling infant delays tend compound matters,A321,Family Leisure,Economy Class,Munich to London Heathrow,Oct-18,yes
893,893,manchester philadelphia via london manlhr tall club europe seating fine short flight addressed name adequate breakfast bacon roll fruit yoghurt concorde room crowded wait showers lhrphl aged 747 still favorite cabinwashrooms good shape though problem ba f layout unlike many posters excellent flight experienced crew though full cabin smooth professional beautifully prepared presented lamb shank good wines always nice see good british bubbly included downside deplaning phl f passengers fight way j scrum could controlled crew,A319 / Boeing 747-400,Solo Leisure,First Class,Manchester to Philadelphia via London,Oct-18,yes
894,894,bangkok london seating interior old small ife screen like meals short connection rebooked another partner upon arrival lhr others connecting flight awaited told would service agents purple everywhere found none fast track security non existant total experience bad,Boieng 777-200,Business,Economy Class,Bangkok to London,Oct-18,no
895,895,london toronto 14 day trip play golf father ba lost clubs 7 days dealing ba lost luggagecustomer service brutal idea clubs long would take retrieve packed clothes clubs first days trip buy clothes essentials flight home lhryyz old 777 misplaced seat cushion broken seat wouldnt stay upright ife system badly needs upgrading power ports seats grueling 75hr flight bad thought air canada light years ahead ba,Boeing 777,Solo Leisure,Economy Class,London to Toronto,Oct-18,no
896,896,london vienna shocked ba provides buy onboard short haul flights free water coffee tea tried buy something credit card wouldnt work could pay cash,A320,Business,Economy Class,London to Vienna,Oct-18,no
897,897,johannesburg london tend stay airline frequent flyer fly business class seen change worst ba service seem get better bedding finally decent pillow good one indeed rest waste money unless new announced club world seat introduced fit perfectly seated window seat makes impossible make bed properly new things dont expect top food plane expect service announce things make sure flights champagne served taken seat premium economy however gets sparkling wine must eat order eat seem run certain items gin gordons decide upon breakfast even dinner entertainment make sure bring tablet downloaded things view ba offers limited offer,A380,Business,Business Class,Johannesburg to London,Oct-18,no
898,898,singapore london heathrow first time traveling british airways seat arrangement longhaul business class uncommon half seats facing backward facetoface one sitting opposite least taking landing divider lowered 8 club world seats per row 777300er relatively narrower comparing carriers serving route cabin service good expected however saw chocolate bars sweets minibar night could choices,Boeing 777-300ER,Solo Leisure,Business Class,Singapore to London Heathrow,Sep-18,yes
899,899,london los angeles booked trip eight months previously lost status ba years ago forced pay additional £180 two seats flight chose boeing 787 prepared part extra cash could small front cabin never expecting anything go according plan ba flight cancelled days rebooked onto later flight changed a380 twenty one year old jumbo seated right back club world benefit screaming child sat front row premium greeted rather pleasant steward told us would looking us trip disappeared never seen food served within hour take eleven hour flight steak tough impossible cut could eaten picking biting pieces hours went galley seek drink crew disappeared stood completely ignored three stewardesses reluctantly one stopped chattering managed get drink second meal served seven hours lunch steak sandwich least one edible seat would expect old plane totally knackered getting task bought wifi whole trip ran 50 flight yet customer non existent services refuse refund payment even though sent whole host screenshots showing various times wifi service happy note problems avoided ba time except option club europe transatlantic probably bottom pile took trip use avios used could come back lax virgin atlantic never ba club world offered farce todays business market,Boeing 747-400,Couple Leisure,Business Class,London to Los Angeles,Aug-18,no
900,900,miami london heathrow many others posted reviews site issue bas customer service dealing issue arisen flying proud airline issue faulty equipment onboard issue seat onboard team tried best ability sort unable lack effort nothing praise guys working aging equipment keep trying best keep customer happy move seat first club premium economy full move back economy asked customer services refund fare difference part journey several cut past generic replies part fed hitting head brick wall given life short fight profits customer satisfaction organisation following favourable review outward journey clear ba lacks consistency dont wish deal issue something goes wrong said reviews nothing praise onboard crews dealing issues trying make great experiance think ba need work problem solving skills 91000 avios going waste business going else,Boeing 747,Solo Leisure,Premium Economy,Miami to London Heathrow,Sep-18,no
901,901,london heathrow milan malpensa worst airline i’ve ever dealt fly 100 times year british airways lost wife’s luggage vacation unbelievably rude unhelpful resolving issue ruined vacation refuse help us please never book airline,Null,Couple Leisure,Business Class,London Heathrow to Milan Malpensa,Oct-18,no
902,902,calgary rome via london wife booked 10th anniversary trip calgary rome return british airways sept 1727 first trip europe spent almost 8500 cad first class tickets flight calgary london stopover ok got bottle water nobody came pod next 8 hours one would expected first class maybe another bottle water asked fill would like breakfast card filled breakfast even coffee came vacation great day return flight trenitalia train broke naples 80 mins late wife tried dozens times phone british airways none phone numbers posted website working calls dropped service tried numbers tickets website help desk facebook page google etc tried least 5 different phone numbers half dozen times 90 mins could get wife managed check online could check glitch computer saying needed passport check wife pressed name passport information already form said form complete computer glitch couldnt get around ultimately arrived rome airport 5 mins late check wife ok could go could asked 3 ladies british airways desk help shrugged said couldnt help us apparently said would different called showed phone see attached photos calls made told us ticket kiosk couldnt reschedule us gave us another number call wife point near tears visually impaired eye surgery 2 weeks prior allowed carry 5 lbs managing luggage ticketing etc 10 hours delays stressed attitude ladies certainly help way new secret customer service phone number given work wife phone customer service hour reviewing details several teams specialists told basically didnt believe us tried call interested us sending screenshots us trying call nothing could done us could rebook us 8800 apologies whatsoever given slightest help accommodation us stranded rome eventually made home different airlines lost respect trust british airways like corporation interested taking money making minimal effort customer support,Null,Couple Leisure,First Class,Calgary to Rome via London,Sep-18,no
903,903,london bangkok flew british airways first time couple years terminal 5 rubbish may look great travel using train services get may find check need travel another train t5a b separate sections terminal 5 usually fly eva others terminal 2 would avoid t5 possible aircraft interior old dated seats seen better days tv screen size iphone 8 without technology food ok best served cold warm meals flights crew okay flight home however flight interested spoke landing cards thailand loaded aircraft total 50 people economy land bangkok spend time filling one immigration ridiculous queue always huge bangkok want get clearing getting bag flight drunks way back uk isn’t airlines fault notice one young guy 21 told alcohol cabin manager kicked next crew member serve last time choice ever fly british airways there’s seats available anywhere else went time guess i’ll choice,Null,Solo Leisure,Economy Class,London to Bangkok,Mar-18,no
904,904,london heathrow miami airport staff helpful crew also nice food delicious old personal entertainment system works well overall one best flights,Boeing 747-400,Family Leisure,Economy Class,London Heathrow to Miami,Aug-18,yes
905,905,london singapore wonderful flight lucky 2seatsrow upperdeck last criteria make flight perfect crew friendly food best ive airplane fly a380 economy book seats upperdeck best seats plane 83a 83k,A380,Solo Leisure,Economy Class,London to Singapore,Sep-18,yes
906,906,dublin london trying add additional bag online system keep saying email address correct giving completely correct email address checked flight additional bag option completely gone system asked add additional bag airport charging €70 compare €35 online price afterwards phoned customer care discuss issue customer care agent dropped call three times fourth time talking one customer care agent helpful asked connect supervisor manager put hold 55 mins said manager busy completely unprofessional showing empathy british airways trying rob compelling pay double price airport extra baggage british airways always first priority unfortunately won’t flying british airways due awkward behavior,Null,Solo Leisure,Economy Class,Dublin to London,Sep-18,no
907,907,london pisa return fly route often house tuscany reasonableness best far outbound went first wing check t5 gold card members breakfast lounge ok south lounge rammed took time declined cooked breakfast lady next full english look rather nice captain popped loo caught eye enjoyed pleasant ten minutes chat aviation nice bloke landed plane superbly coming home delayed 45 minutes due storm ali good lunch new club europe menu came effect two days earlier nice prawn cocktail nice coronation chicken downed couple gts fas flights great massive improvement catering side seating still hopeless three seats two zero legroom ba really look competition far east offer excellent regionalized business class product worth sale avious points every day fare price ludicrous,A321,Family Leisure,Business Class,London to Pisa,Sep-18,no
908,908,prague flying british airways back heathrow apparently thunderstorms london flights delayed 1715 flight delayed 8 next morning british airways person prague airport relay message consolidator passed sheets paper advising people remuneration available spend night wait 8 flight sheet information didnt offer hotel suggestions ideas get back prague consolidator also mentioned 2000 flight room thirty people flight calling british airways finding offices closed evening went online booked flight late timing charged 356usd countless emails hours spent trying get phone finally learned ba would reimburse nonused flight booked 3 months earlier cost 96 usd also said would send 50 flight voucher sure many months take receive airline doesnt simply rebook significantly delayed passenger next flight try extract outrageous sums never fly british airways,Null,Family Leisure,Economy Class,Prague to Heathrow,Aug-18,no
909,909,ba34 kullhr 6 sept return ba11 lhrsinkul 16 sept flights world traveller plus exception sinkul mh economy kullhr leg aircraft clean spacious py cabin seats biggest let whilst adequate legroom hard uncomfortable especially reclined virtually lumbar support headrest move seats taper waist odd given quite wide little storage apart usual pocket think missed opportunity ba maximise utilisation space food okay get two meals first quite substantial second joke ife okay best part journey staff pleasant obliging return flight a380 excellent boarding procedure full flight seats a380 wonderful storage space upper cabin staff less conspicuous time around overall would recommend attention needs paid seats,"Boeing 787-9, A380",Business,Premium Economy,Kuala Lumpur to London Heathrow,Sep-18,yes
910,910,flew los angeles leeds bradford via heathrow thursday 13th september british airways codeshare partner american airways arrived safely bags monday afternoon receiving five different text messages contradicting previous one still without bags come ba sort shambles,A319,Couple Leisure,Business Class,Los Angeles to Leeds via London Heathrow ,Jun-18,no
911,911,brindisi london flying airport includes ryanair among serving airlines bad sign brindisi airport least modern makes concessions comfort certainly lounge club europe passengers also priority checkin indeed priority anything boarding fiasco two lines directed pens pending mad dash plane entailed using rather weird tiered set steps another queue service club europe commenced efficiently cabin crew breezy cheery type whod better suited ryanair brief drinks service muchvaunted new look club europe meal service sadly proved another costcutting exercise everything piled tiny plastic tray appetiser cheese courses reduced microscopic portions little pots course seats havent changed although interestingly ba seem intent packing ever passengers club europe section means service little different old economy still arrived 30 minutes behind schedule priority tags result bags coming belt within minutes whole inflight experience lacklustre unbusinesslike,A320,Couple Leisure,Business Class,Brindisi to London,Sep-18,no
912,912,chicago london flown long haul many times ba virgin premium economy view whilst virgin product improved ba equivalent deteriorated virgin significantly better despite booking paying seats ba got changed without notification ended back wt a380 dreadful seats toilet limited recline overnight flight first time many years found food inedible service great example cutlery initially tray food choice run choice one drink serving get water flight went 3 layers customer service ba seat booking issue consistently fobbed plane also warm uncomfortable return leg,A380,Couple Leisure,Premium Economy,Chicago to London,Sep-18,no
913,913,berlin london connecting flight complain flight time machine clean serve free water let alone tea coffee obviously costs nothing testifies low perception customers ba simply turned low cost airline,Null,Family Leisure,Economy Class,Berlin to London,Sep-18,no
914,914,british airways favorite airline boeing 777 21 years old clean staff professional food expectation 7 hours flight staff always captain kept updating us weather turbulence time,Boeing 777,Solo Leisure,Premium Economy,Riyadh to London ,Aug-18,yes
915,915,rome newark via london first sector a319 flight tiny bit delayed arrived time boarding fco initially groups free groups 1 2 flight attendants friendly welcoming seat comfort pretty good leather seats though legroom tight really nothing set flight apart low cost carrier everything purchased even water entertainment either prepared packed lunch airport better appeared ms menu connection t5 smooth anything given arrival mid afternoon boarding flight newark organised painless dreading 787 flight little based previous experience another airline felt cramped happy say seat comfort pretty good legroom manageable however surprised 2 year old aircraft checked pretty dirty grime around usb port didnt work tv screen along floor wall cushion seatback front appeared busting sides well found touchscreen ife outdated slightly slow response selection extensive find excellent british content seen real standout cabin crew somewhat senior experience shone consistently friendly professional warm service generous drinks efficient quick main meal decent though pre arrival snack sandwiches little dry disappointing surprisingly good flight transatlantic leg comparison sub par european sector,A320 / Boeing 787-9,Couple Leisure,Economy Class,Rome to Newark via London,Sep-18,yes
916,916,london heathrow new york jfk first wing terminal 5 rubbish tonight 20 deep it’s really decent part ba’s ground operation flight left late due repairs usual wait tow kennedy made us overall late staff cheerful route gets decent catering normally 3 main options indian chicken bland,Boeing 747-400,Business,Business Class,London Heathrow to New York JFK,Sep-18,no
917,917,london heathrow dubai first time flown first class ba read many reviews travelling somewhat mixed bas first class cabin even close best skies isnt price reward tickets readily available little bit flexible dates 777 probably one oldest ba fleet cabin clean little bit tired places seat comfortable spacious sleep suit amenity kit great lots little touches make comfy nice offer male female kit wife delighted contents champagne ba offer first superb enjoyed couple glasses lounge board probably best champagne tasted choice wines good particular treat johnnie walker blue label whiskey drinker food tasty well presented seared prawn amuse bouche followed poached baby pear blue cheese walnut brittle lamb machboos main course finally chocolate mille feuille offered ice creams hour two later afternoon tea couple hours landing cant really fault best airline food ever eaten better number restaurant meals ife decent although screen folded away entertainment take landing believe rectified later versions seat fitted 787 wish full series show rather random episodes plenty choice thing really made flight special cabin crew moment stepped board deplaned fabulous attentive overbearing witty charming still professional always available attend every need superb wifi available page connect didnt load tried dint really pursue honest happy enjoy pleasures first offer great flight would wholly recommend try first whether would choose club world would flight flight basis though,Boeing 777-200,Couple Leisure,First Class,London Heathrow to Dubai,Sep-18,yes
918,918,heraklion gatwick left luggage behind belt mistake 30 mins realised went back airport british airways staff willing help asked ring phone arrival hall pillar dialed ba baggage enquiry staff picked phone hung purpose never answered frustrating,A320,Couple Leisure,Economy Class,Heraklion to Gatwick,Sep-18,no
919,919,flew madrid london heathrow 767 ancient ba clearly given hiding fact guess phasing old great planes service soon love flying 767s configurations generally comfortable honest plane really dated ba definitely improve aside flight really good indeed ba business class experience always consistent consistently good ba cabin crew business class real asset one bas traditional crews create agreeable atmosphere flight busy staff efficient loading flight prejudice overall experience food tasty indeed excellent selection drinks ill sad see 767s go time come,Boeing 767,Solo Leisure,Business Class,Madrid to London Heathrow,Sep-18,yes
920,920,london heathrow brindisi weren’t expecting long queue club europe checkin midafternoon apparently particularly busy t5 galleries south lounge also teeming least filthy chairs replaced reasonable selection hot cold food group boarding handled efficiently a321 relatively new clean pretakeoff drinks offered departure delayed 30 minutes arrival time club europe section unusually busy least ten fully occupied rows including families preschool children despite congestion chaos food drink service handled efficiently although food better old world traveller offering it’s hard see point ba’s short haul business class product experience second rate,A321,Couple Leisure,Business Class,London Heathrow to Brindisi,Sep-18,no
921,921,ba silver membership promises fast track choice seats booking priority boarding lounge access would advise travellers reality benefits intermittent best unavailable worst majority time seat choice changed fast track heathrow slower normal queue lounges overcrowded sometimes hard find seat iberia lounge madrid equality poor stale tortilla offering breakfast british airways rip uploaded way example seat map a321 seat 22c seat extra legroom cramped like others yet bacom try sell exit seat extra legroom recently travelled virgin atlantic cathay pacific business economy really struck abysmal baiberia comparison,A320,Business,Economy Class,London to Madrid,Jul-18,no
922,922,hamburg london initial flight london cancelled us 3 days departure firm booking collect motorhome upon arrival total chaos ground service appalling free service board checkin hamburg appallingly slow didnt open 2 hrs departure check demanded cabin baggage checked demanded keep unsatisfactory airline,Null,Couple Leisure,Economy Class,Hamburg to London,Sep-18,no
923,923,glasgow miami via london glasgow heathrow painless transfer t3 heathrow miami aging 747 flight delayed hour due temperatures board unsafe board kept informed gate team progress tv screen tiny poor choices entertainment plane looking age bit run around edges premium economy offering cabin seat comfort far superior a380 made journey good young lady looking premium economy cabin polite efficient welcoming nothing bother service smile start finish people quick criticise poor service big shout crew member great job also meals drink selection good although leaving hour late arrived time overall job well done ba looking forward return journey,Boeing 747,Solo Leisure,Premium Economy,Glasgow to Miami via London,Aug-18,yes
924,924,london heathrow budapest much disappointing experience ba finally nice flight got emergency seat assigned online checkin though usually extra money top one sat next better seat people euro club business class since legroom economy class flight departed landed time uneventful anyway,Airbus A32,Solo Leisure,Economy Class,London Heathrow to Budapest,Aug-18,yes
925,925,budapest london heathrow flight departed time would arrived ahead schedule gate occupied previous aircraft ride bit bumpy serious flight full kids crew everything make journey smooth purchase food saw ran lot options due unexpected number onboard purchases,A320,Solo Leisure,Economy Class,Budapest to London Heathrow,Sep-18,yes
926,926,london toronto group 10 people age 2 60 business class seating 7879 conducive family travelling allows interaction forward business class cabin 787 fairly private service flights flawless attentive three small children also allowing adults enjoy meals food presentation especially intercontinental leg really nice food flights simply fantastic outstanding crew ba 603 ba 99 outgoing flights toronto august 16 similar great service ba gets often negative reviews travelling regularly never bad experience seating arrangement club world perfect travelling family carriers may advantage one travels alone,A319 / Boeing 787-9,Family Leisure,Business Class,Pisa to Toronto via London,Sep-18,yes
927,927,madrid heathrow fly ba regular basis gold card holder service attitude facilities drop lower lower planes filthy cleaned properly flights staff hit miss miss anything poorly turned food business average seating newer planes terribly uncomfortable customer service point ringing useless rude hostile never provide assistance whatsoever,Null,Business,Business Class,Madrid to Heathrow,Aug-18,no
928,928,singapore london wanted charge extra gbp65 23kg limit legroom seemed small flight super full sitting next big woman spilled side seat asked would like tea coffee breakfast steward said come back tea long time managed catch guy walking asked tea said tea,Null,Solo Leisure,Economy Class,Singapore to London,Aug-18,no
929,929,washington frankfurt via london checkin dulles airport smooth asked agent possible get window seat even though online checkin none available boeing 747400 27 years old ife size wallet quality incredibly bad seats ok pretty standard head rest good seat 27a whole row unfortunately crew member shortly takeoff told another passenger issues ife would replace 27c shortly takeoff service began 2 food options available chicken vegatarian lasagne went lasagne ok nothing special came salad bread bun black forest cake ok meal nothing complain crew distributed 2 mini cans soda bit unsatisfying dinner crew dimmed lights supposed close window shades people wanted sleep tried watch movies selection ok hard miniature ife morning crew served orange juice landing pretzel cheese small water bottle connecting heathrow pretty easy t5 signs everywhere security went fast huge quiet zone battery chargers free wifi boarded groups good avoid crowds ba started buyonboard service hate however thought pricing ok,Boeing 747-400 / A319,Solo Leisure,Economy Class,Washington to Frankfurt via London,Aug-18,no
930,930,rome london flight delayed rome hour could connect next flight los angeles landed heathrow 20 minutes departure staff members helped us conveniently put us next flight tomorrow put us hotel next airport provided dinner provide additional vouchers snacks stuff,Null,Family Leisure,Economy Class,Rome to London,Aug-18,no
931,931,always like travelling ba a380 seats economy class comfortable always able sleep rare airlines types planes however food really poor last 12 months worst airline food served ba cathay pacific includes recent travels british airways thankfully ba airline staff always best,A380,Solo Leisure,Economy Class,London Heathrow to Hong Kong,Aug-18,yes
932,932,london heathrow düsseldorf really good crew legs journey got board first let crew know fact flying solo slight autism kept safe entire flight bonus loved fact asked ok board,A318,Solo Leisure,Economy Class,London Heathrow to Düsseldorf,Aug-18,yes
933,933,london athens since started using ba 2011 say quality becomes worse leg room business class a320 like economy thing get empty middle seat meal choices poor choose curry fish pie also first brought us starter dessert 510 mins ate starter took starter plate gave us main board service less attentive years ago probably cabin crew overutilised want get rest understandable also due plane late cabin cleaned properly point need think would someone choose ba low cost airlines tickets priced similar way food board economy business portion variety joke leg space small always delays depart heathrow bas fault end day experience delays makes ba european flights distinct probably nothing,A320,Couple Leisure,Business Class,London to Athens,Aug-18,no
934,934,london heathrow singapore great experience concorde room galleries first lounges heathrow t5 warmly greeted member crew held aside took cockpit meet flight crew look around expressed slight interest thankful flight crew friendly nice see goes cockpit seat well presented small amenity kit well pair pyjamas seat clean pillows well ample storage space get closet hang clothes little compartment next seat well overhead bin never ran room predeparture beverage choice water orange juice champagne hot towels handed flight left slightly behind schedule heathrow something expect soon takeoff crew began serving dinner already booked meal advance choice starters mains deserts well beverage menu good meal exceptionally tasty would dinner service finished crew turned bed whilst went changed comfortable pyjamas provided bed comfortable 6 feet tall issues fitting bed stretching plenty blankets pillows available slept well awoke offered coffee short later breakfast breakfast choices continental cooked opted cooked option disappointed tasty lot inflight entertainment good large range films tv programmesseries audio books kids programmes choose system responsive good quality although watch films cannot speak sound quality crew served smile even asked latte machine didn’t crew went way make one nice really made already special experience even special want treat ba first would thoroughly recommend,A380,Family Leisure,First Class,London Heathrow to Singapore,Jul-18,yes
935,935,philadelphia london nice plane nice seats low quality service plane husband ordered low sodium meals delivered mine asked attendant brought uncovered tray sticker tray lsml obviously heated quickly lukewarm dry troubled fact delivered foil covering food husbands meal take airlines word lsml low sodium attendants serving coffee missed us pressed call button 15 minutes flight attendant showed one pass cabin drinks go back plane find attendant order drink sandwich served landing evening horrendous hummus limp piece lettuce soggy thin sliced tomatoes made stale sandwich unappealing tasteless say least expected edible food better friendly service airline flight attendant stone faced seemed curt bothered time asked missing meal landing many people still trash final walk invisible flight crew thought british airways better,Boeing 787,Couple Leisure,Premium Economy,Philadelphia to London,Aug-18,no
936,936,london las vegas experienced ancient entertainment unit inoperable could reset tray table stow properly armrest remained 45 degree angle metal frame exposed seat cushion badly sunken totally unpadded one air vent 3seat row inseat power luggage mislaid 33 hours even priority tag writing british airways regarding disappointing flight ba customer service contacted offered apology 63usd voucher toward future ba travel make shoddy service choice choose another airline,Boeing 747-400,Family Leisure,Economy Class,London to Las Vegas,Jul-18,no
937,937,zagreb london checkin 24 hours checked via app offered choice seating flight asked stewardess would like food find approach pleasant personally invited use lounge find lacking business class fare,Null,Business,Business Class,Zagreb to London,Aug-18,no
938,938,booked round trip milan california honeymoon first flight milan san francisco via london returning flight los angeles milan always via london flights faced 1 hour delay flights luggage delivered destination check bags business class mixed one world members exclusive first real advantages found business lane crowded category worst business class experience totally disappointed,A380,Family Leisure,Business Class,Los Angeles to Milan via London,Aug-18,no
939,939,toronto lhr lgw toronto return wt finally ba moved back it’s lounge refurbished new furniture however premium plaza still staff operate lounge food ok – drinks choices remain poor slick boarding full pe cabin 777 water juice offered boarding still prosecco offered flights london apparently 3 loaded london ow leg none return friendly mixed fleet crew offered good service fast bar service followed veggie pasta chicken stir fry offered foul salty dry overcooked reheated rice mushy vegetables salad nonsense – leaves tomato slice pudding sickly chocolate sponge thing gross got couple hours sleep however ife froze take due pa system remaining locked preventing ife working reset halfway flight worked though two loud renditions delibe’s “flower duet” burst throughout aircraft twice waking everyone standard tcs juice pretzel roll cream cheese offered landing continue amazed breakfast offered people accept eat given awful ba embarrassed it’s even offered leaving toronto 5 mins late arrived 5 early gate heathrow welcome along fast bags return leg took seasonal lgw toronto flight couple hundred bucks cheaper upgrade club world pleasant surprise fast check lgw slow slow slow security – even fast track lane gatwick airport sell £5 premium experience lane full folk paying 5 quid mixed ba fast track customers excellent lounge good choice food champagne available help efficient boarding great reception gatwick cabin crew fast offering champagne top take though old safety video still showing gatwick crew remind long haul crew heathrow – experienced faster relaxed service mixed fleet crew follow service letter results slow impersonal service fast bar service airborne followed old biz food service overcooked steak alongside jerk chicken veggie option plenty wine drinks along tc pleasant 3 hour nap woke afternoon tea standard old offering minus clotted cream – menu due supply issues gate early fast bags club flight weird hybrid nature transition new biz service new toiletries bedding old menu hope gatwick catches ba don’t unintentionally promote two levels biz service lgw poor relative ow leg premium economy desperate need revamp food truly awful – dinner breakfast really wouldn’t take much add better food bedding enhanced drink service ba really lag behind air canada route premium economy regard experience premium economy service seat said felt ba regaining it’s mojo great crew improved board experience cuts reinstated time performance long may improvement last,Boeing 777,Solo Leisure,Premium Economy,Toronto to London,Aug-18,yes
940,940,san francisco london heathrow lower deck a380 quiet smooth flight want pay usual ba extortionate seat prereservation fees still got seats together real scrum departure gate apparent order struggle get priority lane announcements completely inaudible etc boarded reasonably comfortable narrow seats course usual ba club class scramble legs get aisle 8 abreast really premium product todays competitive business class world welcomed glass champagne attentive fa ok meal beef decent wines accompany much date touch screen avod system still dreadful choice blockbuster films extensive choice breakfast continental cooked wanted really good fas made feel welcome landed time baggage reason took 34 hour get belt usual mixed feelings ba lucky enough fly clubbusiness class comfortable feel bit let appalling layout huge charge prereserve seat virgin atlantic fly route always choose upper class everyone aisle access dont pay prereserve seat,A380,Couple Leisure,Business Class,San Francisco to London Heathrow,Jul-18,no
941,941,london dublin early morning departure heathrow full flight ba managed everything professional manner bagdrop efficient boarding process conducted according rules cabin crew immaculate appearance conducted safety demonstration along video short busy flight crew able sell drinks snacks left superb impression good experience airline earlier year glad see time superb,Null,Solo Leisure,Economy Class,London to Dublin,Aug-18,yes
942,942,london paris wish would update aircraft perhaps even little refurbishing especially seats feel worn quality paying feel worth said better lowcost carrier,A321,Couple Leisure,Economy Class,London to Paris,Jan-18,yes
943,943,delivering outstanding customer service onboard british airways may cleanest newest comfortable aircraft customer service always delight since flown,A320,Couple Leisure,Economy Class,Amsterdam to London,Jun-18,yes
944,944,night flight new york jfk london difficult assess service onboard although experienced certainly bad think quiet flight judging number people around gate another 45 pax first quite hard tell wrapped cocoons concorde room first cabin former felt exclusive commented elsewhere point fussy irritating dont showers concorde room wasnt amused check galleries business lounge brusquely sent concorde return galeries upon learning showers former 7pm early august nyc course needed shower departures ny running around 3 hours late evening due weather warned 60 min taxi runway well looked point cabin wasnt secured takeoff boredom taxi eased multiple welcome topups champagne seved various members crew likewise perks first class addressed name crew introduced individually dinner drinks orders taken etc courteous professional long delay decided dinner quite peckish came excellent wine served promptly still plenty time sleep soup cold main wouldnt place business class moreover would nice someone mentioned ba arrivals lounge lhr would closing time delayed flight reached destination known would breakfast freshen plane annoying oversight led quite lot inconvenience picture spoilt guy trying insert contact lenses t5 arrivals toiletsperhaps saw cabin layout bed well easy find details elsewhere online certainly nothing special first class overall acceptable flight felt overlyfussy service sometimes got way practicalities short overnight atlantic crossing shower morning breakfast ive business class flights carriers absolutely nailed aspects,Boeing 777,Solo Leisure,First Class,New York JFK to London,Aug-18,no
945,945,amman london appalling service flight subsequent customer service strict vegans prebooked vegan meals flight meals delivered usual vegan slip start eating noticed given butter made doubt authenticity meal called staff idea vegan informing meat explain vegan ie dairy eggs turns called vegan meal milk egg needless say eat meals vegan meals shortly came around drinkstrolley asked coffee soya milk staff explain vegan said oh dont think semi skimmed milk reexplain vegan milk said would go ask returned said dont provide sort thing strange 2 weeks ago outbound journey meals hot drinks video screen work customer service followed appalling could care less took ages get replies palmed several months write emails informed submit everything letter needed paper another way getting rid us several weeks offered us pathetic compensation basically value meals could eat vouchers,Null,Couple Leisure,Economy Class,Amman to London,Apr-18,no
